DATE,USALORSGPNOSTSAM
2020-01-01,100.914151789226
2020-02-01,100.902867984617
2020-03-01,96.0661005088338
2020-04-01,93.0956738094808
2020-05-01,91.5816202106476
2020-06-01,93.3775271780561
2020-07-01,95.1527756579071
2020-08-01,96.9058028930841
2020-09-01,97.0893179114925
2020-10-01,97.276221776976
2020-11-01,97.4788511647713
2020-12-01,97.8290985131539
2021-01-01,98.2019829901803
2021-02-01,98.5605915266503
2021-03-01,98.7992792477744
2021-04-01,98.9693112107364
2021-05-01,99.099969390563
2021-06-01,99.2520922619744
2021-07-01,99.422994536798
2021-08-01,99.6183932400301
2021-09-01,99.8429600511387
2021-10-01,100.088976166715
2021-11-01,100.34470835455
